argmin_deletion_columns	381,479,927
columns_distinct	1
columns_nonzero	1
density_decimal	1.24609375
density_den	256
density_num	319
dependent_triples	10
forced_split	821
min_distance	3
min_uncovered_on_deletion	9
mult_hist	1:859,2:129,4:24,5:9,6:3
n	50
name	H_r10_n50
pair_hist	1:821,2:123,4:19,5:8,6:2
pair_needed	973
partition_blocks	10
partition_failures	0
partition_sizes	8,1,3,2,8,8,8,2,1,9
partition_valid	1
r	10
radius_exactly_2	1
rank	10
syndromes_covered	1024
syndromes_total	1024
triples_block_map	(32,341,373):9/9/9;(32,576,608):9/9/9;(32,789,821):9/9/9;(329,576,777):5/9/9;(341,576,789):9/9/9;(341,608,821):9/9/9;(373,576,821):9/9/9;(373,608,789):9/9/9;(479,576,927):7/9/9;(491,734,821):6/4/9
triples_list	(32,341,373);(32,576,608);(32,789,821);(329,576,777);(341,576,789);(341,608,821);(373,576,821);(373,608,789);(479,576,927);(491,734,821)
triples_three_blocks	1
