asymptotic_density_decimal	1.270020
asymptotic_density_den	2048
asymptotic_density_num	2601
family_closed_form	51*2^(r/2-5)-1
family_improvements	10,18,20,30,32,34,36,38,40,46,48,50,52,54,56,58,60,62,64
family_reachable_r	10,18,20,30,32,34,36,38,40,46,48,50,52,54,56,58,60,62,64
family_unreachable_r	12,14,16,22,24,26,28,42,44
kr_canary_h5_h27_h29	0
kr_n	51
legal_m	4,5
paper_asymptotic_density_den	2048
paper_asymptotic_density_num	2704
qm2_m4_density_den	262144
qm2_m4_density_num	332521
qm2_m4_distinct_betas	16
qm2_m4_n	815
qm2_m4_p_bound	33
qm2_m4_r	18
qm2_m5_density_den	1048576
qm2_m5_density_num	1330897
qm2_m5_distinct_betas	32
qm2_m5_n	1631
qm2_m5_p_bound	65
qm2_m5_r	20
seed_n	50
seed_p	10
seed_r	10
