columns_distinct	1
columns_nonzero	1
density_decimal	1.2958984375
density_den	1024
density_num	1327
dependent_triples	22
forced_split	847
min_distance	3
mult_hist	1:858,2:89,3:42,4:13,5:19,6:3
n	51
name	kr_r10_n51
pair_hist	1:847,2:62,3:33,4:13,5:15,6:2
pair_needed	972
r	10
radius_exactly_2	1
rank	10
syndromes_covered	1024
syndromes_total	1024
triples_list	(1,64,65);(1,240,241);(1,594,595);(1,738,739);(2,8,10);(4,939,943);(8,438,446);(8,512,520);(8,948,956);(16,169,185);(32,285,317);(64,176,240);(65,176,241);(128,285,413);(172,771,943);(176,594,738);(176,595,739);(185,790,943);(256,687,943);(285,571,806);(285,667,902);(424,519,943)
