id,x,y
0,0,0
1,11010048,0
2,11010816,4096
3,11013120,19456
4,11022336,90112
5,11059200,409600
6,20447232,-1572864
7,20450304,-1553408
8,20451072,-1549312
9,20459520,-1482752
10,20460288,-1478656
11,20462592,-1463296
12,20496384,-1163264
13,20497152,-1159168
14,20499456,-1143808
15,20508672,-1073152
16,28311552,-4718592
17,28323840,-4628480
18,28326912,-4609024
19,28327680,-4604928
20,28360704,-4308992
21,28363776,-4289536
22,28364544,-4285440
23,28372992,-4218880
24,28373760,-4214784
25,28376064,-4199424
26,34603008,-9437184
27,34652160,-9027584
28,34664448,-8937472
29,34667520,-8918016
30,34668288,-8913920
31,39321600,-15728640
