n,left_offset,right_offset
4294867296,7,1
4294867297,58,3
4294867298,75,71
4294867299,8,7
4294867300,13,81
4294867301,162,5
4294867302,19,1
4294867303,58,57
4294867304,3,31
4294867305,14,29
4294867306,117,75
4294867307,18,13
4294867308,59,25
4294867309,58,17
4294867310,51,41
4294867311,10,11
4294867312,193,3
4294867313,34,89
4294867314,7,83
4294867315,52,17
4294867316,43,1
4294867317,74,41
4294867318,9,95
4294867319,10,11
4294867320,29,59
4294867321,48,17
4294867322,3,25
4294867323,104,35
4294867324,21,57
4294867325,72,11
4294867326,47,85
4294867327,12,41
4294867328,25,31
4294867329,70,31
4294867330,49,27
4294867331,10,125
4294867332,5,1
4294867333,28,191
4294867334,15,31
4294867335,86,7
4294867336,25,41
4294867337,28,1
4294867338,143,37
4294867339,22,9
4294867340,21,1
4294867341,50,55
4294867342,73,5
4294867343,28,157
4294867344,13,1
4294867345,46,51
4294867346,51,101
4294867347,2,7
4294867348,19,41
4294867349,130,61
4294867350,43,17
4294867351,46,77
4294867352,3,83
4294867353,64,37
4294867354,15,57
4294867355,4,41
4294867356,17,19
4294867357,34,5
4294867358,27,49
4294867359,10,11
4294867360,1,107
4294867361,58,17
4294867362,7,65
4294867363,72,5
4294867364,87,11
4294867365,28,11
4294867366,57,29
4294867367,40,13
4294867368,5,25
4294867369,16,47
4294867370,81,31
4294867371,32,107
4294867372,27,65
4294867373,82,61
4294867374,31,1
4294867375,4,17
4294867376,183,59
4294867377,20,35
4294867378,37,9
4294867379,18,37
4294867380,1,61
4294867381,6,47
4294867382,3,37
4294867383,14,49
4294867384,1,81
4294867385,142,7
4294867386,25,7
4294867387,10,41
4294867388,15,25
4294867389,22,13
4294867390,51,153
4294867391,72,59
4294867392,55,31
4294867393,30,9
4294867394,75,1
4294867395,32,43
4294867396,115,17
4294867397,40,11
4294867398,25,17
4294867399,28,41
4294867400,9,29
4294867401,26,25
4294867402,19,11
4294867403,42,95
4294867404,1,91
4294867405,52,21
4294867406,1,17
4294867407,68,43
4294867408,103,41
4294867409,16,41
4294867410,89,67
4294867411,18,5
4294867412,3,17
4294867413,52,41
4294867414,1,17
4294867415,4,67
4294867416,25,41
4294867417,70,51
4294867418,67,19
4294867419,38,7
4294867420,43,3
4294867421,36,1
4294867422,85,13
4294867423,12,45
4294867424,3,49
4294867425,58,109
4294867426,31,39
4294867427,58,41
4294867428,5,49
4294867429,12,51
4294867430,141,71
4294867431,50,41
4294867432,63,47
4294867433,72,7
4294867434,1,17
4294867435,6,17
4294867436,15,101
4294867437,40,41
4294867438,7,59
4294867439,60,7
4294867440,71,43
4294867441,30,17
4294867442,7,1
4294867443,64,11
4294867444,1,9
4294867445,36,23
4294867446,41,5
4294867447,60,47
4294867448,87,61
4294867449,58,29
4294867450,33,9
4294867451,108,221
4294867452,37,13
4294867453,4,69
4294867454,13,11
4294867455,4,17
4294867456,63,87
4294867457,24,145
4294867458,25,79
4294867459,28,57
4294867460,1,37
4294867461,100,5
4294867462,7,53
4294867463,40,31
4294867464,17,31
4294867465,16,33
4294867466,25,59
4294867467,20,25
4294867468,207,35
4294867469,58,13
4294867470,7,113
4294867471,18,15
4294867472,3,41
4294867473,124,37
4294867474,7,77
4294867475,148,97
4294867476,1,41
4294867477,30,15
4294867478,9,1
4294867479,2,17
4294867480,19,3
4294867481,6,5
4294867482,73,7
4294867483,58,39
4294867484,33,43
4294867485,46,19
4294867486,25,17
4294867487,24,41
4294867488,37,37
4294867489,6,3
4294867490,9,131
4294867491,32,101
4294867492,7,47
4294867493,22,17
4294867494,25,11
4294867495,54,69
4294867496,1,1
4294867497,14,13
4294867498,27,17
4294867499,96,23
4294867500,19,1
4294867501,46,15
4294867502,27,73
4294867503,8,1
4294867504,85,11
4294867505,18,1
4294867506,17,1
4294867507,78,111
4294867508,15,37
4294867509,50,49
4294867510,1,59
4294867511,18,35
4294867512,35,95
4294867513,54,15
4294867514,1,1
4294867515,122,37
4294867516,43,11
4294867517,4,5
4294867518,37,59
4294867519,30,153
4294867520,3,41
4294867521,68,5
4294867522,15,57
4294867523,102,61
4294867524,23,17
4294867525,106,11
4294867526,55,25
4294867527,58,1
4294867528,3,117
4294867529,52,31
4294867530,97,23
4294867531,48,5
4294867532,13,7
4294867533,124,7
4294867534,1,11
4294867535,22,19
4294867536,67,35
4294867537,4,11
4294867538,7,97
4294867539,146,47
4294867540,153,9
4294867541,142,25
4294867542,85,37
4294867543,58,71
4294867544,75,17
4294867545,46,157
4294867546,37,101
4294867547,18,55
4294867548,19,11
4294867549,72,123
4294867550,99,43
4294867551,22,5
4294867552,55,45
4294867553,64,37
4294867554,37,59
4294867555,64,53
4294867556,93,95
4294867557,8,35
4294867558,15,39
4294867559,36,89
4294867560,121,7
4294867561,28,27
4294867562,3,5
4294867563,4,25
4294867564,37,69
4294867565,88,19
4294867566,25,19
4294867567,48,17
4294867568,13,25
4294867569,16,29
4294867570,9,33
4294867571,18,29
4294867572,35,7
4294867573,214,41
4294867574,31,41
4294867575,2,41
4294867576,45,29
4294867577,10,83
4294867578,49,287
4294867579,58,21
4294867580,7,41
4294867581,46,49
4294867582,133,23
4294867583,22,37
4294867584,41,37
4294867585,4,3
4294867586,33,17
4294867587,20,73
4294867588,15,9
4294867589,6,23
4294867590,11,23
4294867591,58,41
4294867592,63,1
4294867593,28,31
4294867594,3,21
4294867595,132,83
4294867596,85,7
4294867597,78,65
4294867598,13,59
4294867599,8,107
4294867600,1,39
4294867601,42,17
4294867602,29,25
4294867603,12,27
4294867604,1,29
4294867605,62,1
4294867606,3,69
4294867607,40,65
4294867608,35,11
