first_N,last_N,original_minimum12,independent_minimum12
690988,693035,791366,791366
693036,695083,852975511,854816571
695084,697131,1595967723,1705111788
697132,699179,2545459245,2552286824
699180,701227,3282835774,3395964529
701228,703275,4017581489,4236193009
703276,705323,4749924145,5073208033
705324,707371,5479575304,5906729290
707372,709419,6718088561,6736988277
709420,711467,7441284402,7564045646
711468,713515,8161895244,8387729566
713516,715563,8880047137,9208173758
715564,717611,9595830586,10025476269
717612,719659,10309134406,10839533415
719660,721707,11568014164,11650307321
721708,723755,12274906081,12458100154
723756,725803,12979336758,13262678156
725804,727851,13681190878,14063933395
727852,729899,315112459,315168770
729900,731947,629115262,673869975
731948,733995,1341784471,1487715784
733996,736043,2052178806,2298546139
736044,738091,2760159833,3106229591
738092,740139,3465670179,3910715757
740140,742187,4169072126,4712373438
742188,744235,4869939082,5510783151
744236,746283,5568547850,6306228049
746284,748331,6264828210,7098644702
748332,750379,6958882957,7888142092
750380,752427,7650555053,8674569940
752428,754475,8340047948,9458137844
754476,756523,9027243213,10238733604
756524,758571,9712049126,11016272260
758572,760619,10394867276,11791160349
760620,762667,11075358313,12563065453
762668,764715,11753519866,13331991496
764716,766763,12429704962,14098296183
766764,768811,13103553763,14861626734
768812,770859,13775182320,15622104638
770860,772907,14444814209,16379958580
772908,774955,15112222754,17134968076
774956,777003,15777453227,17887184129
777004,779051,16440551000,18636657817
779052,781099,17101653473,19383530748
781100,783147,17760448128,20127497741
783148,785195,18417345971,20868973345
785196,787243,19072068796,21607685612
787244,789291,19724639656,22343663186
789292,791339,20375285646,23077137036
791340,793387,21023861452,23807967651
793388,795435,21670319547,24536113153
795436,797483,22314851114,25261768601
797484,799531,22957238455,25984722410
799532,801579,23597631952,26705129123
801580,803627,24236216995,27423177886
803628,805675,24872658046,28138540010
805676,807723,25507060025,28851324687
807724,809771,26139622816,29561735195
809772,811819,26770227734,30269658149
811820,813867,27398774021,30974998194
813868,815915,28025478444,31677975595
815916,817963,28650300111,32378553331
817964,820011,305788807,305844040
820012,822059,625115912,669179086
822060,824107,1269957048,1402649828
824108,826155,1912746700,2133497631
826156,828203,2553719761,2861962074
828204,830251,3192649670,3587821415
830252,832299,3829634319,4311178201
832300,834347,4464846017,5032209203
834348,836395,5098044719,5750679170
836396,838443,5729313008,6466675169
838444,840491,6358735663,7180286412
840492,842539,6986311913,7891516412
842540,844587,7611911329,8600239481
844588,846635,8235782777,9306708439
846636,848683,8857759399,10010760873
848684,850731,9477752260,10712312540
850732,852779,10096087891,11411693353
852780,854827,10712560106,12108701708
854828,856875,11327128217,12803301382
856876,858923,11940013078,13495716564
858924,860971,12551001258,14185738547
860972,863019,13160184069,14873462418
863020,865067,13767723328,15559053474
865068,867115,14373393263,16242290539
867116,869163,14977270591,16923254067
869164,871211,15579434999,17602027423
871212,873259,16179885511,18278613135
873260,875307,16778498596,18952892425
875308,877355,17375508206,19625101900
877356,879403,17970757355,20295088651
879404,881451,18564161553,20962772596
881452,883499,19156028021,21628463061
883500,885547,19746162404,22291970036
885548,887595,20334525645,22953258588
887596,889643,20921325805,23612539009
889644,891691,21506361459,24269614501
891692,893739,22089717938,24924573488
893740,895787,22671547572,25577570919
895788,897835,23251637612,26228398456
897836,899883,23830059450,26877130665
899884,901931,24406888172,27523845651
901932,903979,24982122587,28168545131
903980,906027,25555645959,28811116686
906028,908075,26127678254,29451782270
908076,910123,26698071538,30090397666
910124,912171,27266745339,30726886667
912172,914219,27833989413,31361539944
914220,916267,28399620146,31994178102
916268,918315,28963599965,32624767465
918316,920363,29526125290,33253505732
920364,922411,30087005667,33880207015
922412,924459,30646321160,34504953756
924460,926507,31204215367,35127891540
926508,928555,31760487356,35748823774
928556,930603,32315209740,36367819751
930604,932651,32868441718,36984952834
932652,934699,33420187712,37600224064
934700,936747,33970336953,38213526887
936748,938795,34519096894,38825069965
938796,940843,35066327836,39434717054
940844,942891,35611953062,40042395557
942892,944939,36156246380,40648379183
944940,946987,36699033982,41252498275
946988,949035,37240279780,41854720381
949036,951083,37780169514,42455231745
951084,953131,38318522740,43053856501
953132,955179,38855414779,43650671702
955180,957227,39390981255,44245814424
957228,959275,39925031946,44839098845
959276,961323,40457629598,45430589524
961324,963371,40988840803,46020355526
963372,965419,41518664394,46608397330
965420,967467,42046995135,47194613804
967468,969515,42574028891,47779201509
969516,971563,43099633592,48362031530
971564,973611,43623736069,48943034642
973612,975659,44146595522,49522469074
975660,977707,44668046932,50100174135
977708,979755,45188055781,50676118549
979756,981803,45706798031,51250478112
981804,983851,46224102552,51823086181
983852,985899,46740040008,52394014939
985900,987947,47254737815,52963393705
987948,989995,47768015938,53531046562
989996,992043,48279932758,54097033798
992044,994091,48790551954,54661420570
994092,996139,49299871956,55224206890
996140,998187,49807792645,55785296644
998188,1000235,50314499472,56344875348
1000236,1002283,50819867465,56902820838
1002284,1004331,51323826541,57459067034
1004332,1006379,51826622337,58013858008
1006380,1008427,52328098390,58567041331
1008428,1010475,52828221465,59118586860
1010476,1012523,53327158617,59668660832
1012524,1014571,53824747097,60217105111
1014572,1016619,54321053496,60763987461
1016620,1018667,54816199874,61309430113
1018668,1020715,55310015275,61853266273
1020716,1022763,55802554416,62395552367
1022764,1024811,56293877714,62936349986
1024812,1026859,56783983716,63475658754
1026860,1028907,309285478,309313367
1028908,1030955,542516284,572804699
1030956,1033003,1134053629,1165812738
1033004,1035051,1657575923,1757121241
1035052,1037099,2179886225,2346876415
1037100,1039147,2700855246,2934950804
1039148,1041195,3220485086,3521349237
1041196,1043243,3738918247,4106216041
1043244,1045291,4256026666,4689419249
1045292,1047339,4771812411,5270970126
1047340,1049387,5286416540,5851011701
1049388,1051435,5799712176,6429419008
1051436,1053483,6959951235,7006196581
1053484,1055531,7469574229,7581485930
1055532,1057579,7977909364,8155163348
1057580,1059627,8484958903,8727233216
1059628,1061675,8990860835,9297835509
1061676,1063723,9495490565,9866847773
1063724,1065771,9998850262,10434274241
1065772,1067819,10501076525,11000253405
1067820,1069867,11002045997,11564664062
1069868,1071915,11501760731,12127510199
1071916,1073963,12000356000,12688928967
1073964,1076011,12497709583,13248800212
1076012,1078059,12993823474,13807127994
1078060,1080107,13488831464,14364047849
1080108,1082155,13982612668,14919440916
1082156,1084203,14475168922,15473310966
1084204,1086251,14966632879,16025792283
1086252,1088299,15456884721,16576767084
1088300,1090347,15945926192,17126239079
1090348,1092395,16433888522,17674341070
1092396,1094443,16920653200,18220956437
1094444,1096491,17406221741,18766088847
1096492,1098539,17890724266,19309869618
1098540,1100587,18374043196,19852183351
1100588,1102635,20375437830,20393033482
1102636,1104683,20853840251,20932550134
1104684,1106731,21331083320,21470618899
1106732,1108779,21807168552,22007243096
1108780,1110827,22282223013,22542551654
1110828,1112875,22756131627,23076431010
1112876,1114923,23228895850,23608884657
1114924,1116971,23700641526,24140039982
1116972,1119019,24171254655,24669784674
1119020,1121067,24640736548,25198122020
1121068,1123115,25109211914,25725178071
1123116,1125163,25576567830,26250841707
1125164,1127211,26042805548,26775115984
1127212,1129259,26508048526,27298125787
1129260,1131307,26972184918,27819760987
1131308,1133355,27435215917,28340024636
1133356,1135403,27897263818,28859040219
1135404,1137451,28358217794,29376698708
1137452,1139499,28818078921,29893002930
1139500,1141547,29276968445,30408075370
1141548,1143595,29734776442,30921807906
1143596,1145643,30191504047,31434203270
1145644,1147691,30647271254,31945382739
1147692,1149739,31101969187,32455239193
1149740,1151787,31555598950,32963774158
1151788,1153835,32008279405,33471107690
1153836,1155883,32459902635,33977134812
1155884,1157931,32910469686,34481858068
1157932,1159979,33360098314,34985396385
1159980,1162027,33808681648,35487644596
1162028,1164075,34256220562,35988605153
1164076,1166123,34702831762,36488395832
1166124,1168171,35148409369,36986912423
1168172,1170219,35592954198,37484157190
1170220,1172267,36036581848,37980246881
1172268,1174315,36479187430,38475078355
1174316,1176363,36920771643,38968653709
1176364,1178411,37361449212,39461088483
1178412,1180459,37801115890,39952280465
1180460,1182507,38239772547,40442231693
1182508,1184555,38677532691,40931056661
1184556,1186603,39114293176,41418654026
1186604,1188651,39550054701,41905025711
1188652,1190699,39984929782,42390285154
1190700,1192747,40418816148,42874331644
1192748,1194795,40851714496,43357167625
1194796,1196843,41283736296,43838905112
1196844,1198891,41714780265,44319444510
1198892,1200939,42144846986,44798787916
1200940,1202987,42574046878,45277046272
1202988,1205035,43002279475,45754121092
1205036,1207083,43429545534,46230014006
1207084,1209131,43855954252,46704835433
1209132,1211179,44281406386,47178487351
1211180,1213227,44705902109,47650971624
1213228,1215275,45129550213,48122397391
1215276,1217323,45552251860,48592667677
1217324,1219371,45974007574,49061784113
1219372,1221419,46394924807,49529854964
1221420,1223467,46814905945,49996784015
1223468,1225515,47233950986,50462572893
1225516,1227563,47652166977,50927328818
1227564,1229611,48069456650,51390956388
1229612,1231659,48485820472,51853457349
1231660,1233707,48901363974,52314937580
1233708,1235755,49315991229,52775302843
1235756,1237803,49729702353,53234554594
1237804,1239851,50142602238,53692797955
1239852,1241899,50554595363,54149939271
1241900,1243947,50965682195,54605980170
1243948,1245995,51375966286,55061024671
1245996,1248043,51785353454,55514979991
1248044,1250091,52193843526,55967847409
1250092,1252139,52601539820,56419730477
1252140,1254187,53008348389,56870536878
1254188,1256235,53414269466,57320268067
1256236,1258283,53819405147,57769026490
1258284,1260331,54223662475,58216720644
1260332,1262379,54627041448,58663351926
1262380,1264427,55029643524,59109021793
1264428,1266475,55431376444,59553639730
1266476,1268523,55832240090,59997206961
1268524,1270571,56232335045,60439823952
1270572,1272619,56631569808,60881401004
1272620,1274667,57029944378,61321939283
1274668,1276715,57427558349,61761538381
1276716,1278763,57824321091,62200109474
1278764,1280811,58220232429,62637653551
1280812,1282859,58615391259,63074269331
1282860,1284907,59009707532,63509868690
1284908,1286955,59403181134,63944452442
1286956,1289003,59795910026,64378118724
1289004,1291051,60187805036,64810780109
1291052,1293099,60578866105,65242437412
1293100,1295147,60969190264,65673187724
1295148,1297195,61358688981,66102944198
1297196,1299243,61747362255,66531707765
1299244,1301291,62135306186,66959574935
1301292,1303339,67356867133,67386459326
1303340,1305387,67736018332,67812361870
1305388,1307435,68114470457,68237378029
1307436,1309483,68492137128,68661422468
1309484,1311531,68869018112,69084495771
1311532,1313579,69245207356,69506693049
1313580,1315627,69620618829,69927929085
1315628,1317675,69995252531,70348204928
1317676,1319723,70369201363,70767614291
1319724,1321771,70742380339,71186073376
1321772,1323819,71114788996,71603582554
1323820,1325867,71486519882,72020235004
1325868,1327915,71857488248,72435947403
1327916,1329963,72227694210,72850720449
1329964,1332011,72597229038,73264646346
1332012,1334059,72966009029,73677642444
1334060,1336107,73334033950,74089709397
1336108,1338155,73701394489,74500938631
1338156,1340203,74068007525,74911248160
1340204,1342251,74433872825,75320638596
1342252,1344299,74799080495,75729200596
1344300,1346347,75163547997,76136852833
1346348,1348395,75527274981,76543595874
1348396,1350443,75890350854,76949519622
1350444,1352491,76252693776,77354543396
1352492,1354539,76614303281,77758667722
1354540,1356587,76975268078,78161981755
1356588,1358635,77335507259,78564405457
1358636,1360683,77695020008,78965939312
1360684,1362731,78053894452,79366671737
1362732,1364779,78412050032,79766523328
1364780,1366827,78769486397,80165494528
1366828,1368875,79126290627,80563673027
1368876,1370923,79482382978,80960980047
1370924,1372971,79837762867,81357415992
1372972,1375019,80192516907,81753067831
1375020,1377067,80546565935,82147857406
1377068,1379115,80899909371,82541785083
1379116,1381163,81252632779,82934936175
1381164,1383211,81604658160,83327233592
1383212,1385259,81955984467,83718678156
1385260,1387307,82306697149,84109355423
1387308,1389355,82656717859,84499188452
1389356,1391403,83006046363,84888177536
1391404,1393451,83354767062,85276407541
1393452,1395499,83702802658,85663802120
1395500,1397547,84050152334,86050361533
1397548,1399595,84396900143,86436169961
1399596,1401643,84742969367,86821151648
1401644,1403691,85088359192,87205306819
