Z,lieb,nam,hps_s2,hps_s3,hps_simplified,best_published,best_name
1,2.000000000000000000,4.219999999999999751,,,,2.000000000000000000,lieb
2,4.000000000000000000,6.219763149684618853,6.143579870061919301,,,4.000000000000000000,lieb
3,6.000000000000000000,7.986748710922224603,7.890379071669570976,,,6.000000000000000000,lieb
4,8.000000000000000000,9.642203155904597978,9.527134238572060099,10.801690301231777980,10.823604207872797645,8.000000000000000000,lieb
5,10.000000000000000000,11.229927840030089925,11.097062708095759120,12.388782146529857542,12.432403786706787585,10.000000000000000000,lieb
6,12.000000000000000000,12.771361778496419959,12.621317641902418671,13.917968136830939585,13.979482371328558088,12.000000000000000000,lieb
7,14.000000000000000000,14.278793548317166184,14.112023769312102672,15.404411878920774015,15.481224731089556101,14.000000000000000000,lieb
8,16.000000000000000000,15.759999999999999787,15.576854249492379623,16.857770393621652971,16.948000000000000398,15.576854249492379623,hps_s2
9,18.000000000000000000,17.220251469155712698,17.021009146912561505,18.284619036698064320,18.386835292207617698,17.021009146912561505,hps_s2
10,20.000000000000000000,18.663304070095648513,18.448194494359853479,19.689661209682352450,19.802738760127535755,18.448194494359853479,hps_s2
11,22.000000000000000000,20.091940271707947829,19.861155661137196660,21.076391426207642610,21.199420362277258789,19.861155661137196660,hps_s2
12,24.000000000000000000,21.508285455319992252,21.261989690154294408,22.447485484963216607,22.579713940426657359,21.261989690154294408,hps_s2
13,26.000000000000000000,22.914004063162270342,22.652338831078559167,23.805043189099695411,23.945838750883030599,22.652338831078559167,hps_s2
14,28.000000000000000000,24.310426792525689166,24.033516038570343909,25.150746259360829526,25.299569056700917713,24.033516038570343909,hps_s2
15,30.000000000000000000,25.698636222991410705,25.406589457816401989,26.485964939518929384,26.642348297321881034,25.406589457816401989,hps_s2
16,32.000000000000000000,27.079526299369238274,26.772441114362408143,27.811832231386095060,27.975368399158988097,26.772441114362408143,hps_s2
17,34.000000000000000000,28.453844771974704742,28.131808788519681030,29.129296972282137546,29.299626362632942289,28.131808788519681030,hps_s2
18,36.000000000000000000,29.822224182626690947,29.485316588216189615,30.439162659458158799,30.615965576835588280,29.485316588216189615,hps_s2
19,38.000000000000000000,31.185204946165832496,30.833497722761357807,31.742116418359270114,31.925106594887779465,30.833497722761357807,hps_s2
20,40.000000000000000000,32.543252849784721548,32.176811768851877105,33.038750997613512084,33.227670466379628067,32.176811768851877105,hps_s2
21,42.000000000000000000,33.896772529143362362,33.515657967005608953,34.329581729918672295,34.524196705524481388,33.515657967005608953,hps_s2
22,44.000000000000000000,35.246117991966158911,34.850385604843985732,35.615059793034653524,35.815157322621544722,34.850385604843985732,hps_s2
23,46.000000000000000000,36.591600939554695060,36.181302227651229941,36.895582707528468802,37.100967919406258488,36.181302227651229941,hps_s2
24,48.000000000000000000,37.933497421844450059,37.508680204696993599,38.171502740801166453,38.381996562459264055,37.508680204696993599,hps_s2
25,50.000000000000000000,39.272053214638596330,38.832762034773764981,39.443133703842306659,39.658570952851462721,38.832762034773764981,hps_s2
26,52.000000000000000000,40.607488205222111333,40.153764673336048929,40.710756499394555874,40.930984273629483994,40.153764673336048929,hps_s2
