CAND 6 [0,4,0,-5,0,1] [1];[0,1];[2];[0,0,1];[-2,0,1];[4,0,-4,0,1];[4,0,-5,0,1];[0,4,0,-5,0,1]
CAND 6 [0,0,4,0,-5,0,1] [1];[0,1];[2];[0,0,1];[-2,0,1];[4,0,-4,0,1];[4,0,-5,0,1];[0,0,4,0,-5,0,1]
CAND 6 [0,-4,0,5,0,-1] [1];[0,1];[2];[0,0,1];[-2,0,1];[4,0,-4,0,1];[-4,0,5,0,-1];[0,-4,0,5,0,-1]
CAND 6 [0,0,-4,0,5,0,-1] [1];[0,1];[2];[0,0,1];[-2,0,1];[4,0,-4,0,1];[-4,0,5,0,-1];[0,0,-4,0,5,0,-1]
CAND 6 [0,4,0,-5,0,1] [1];[0,1];[2];[0,0,1];[2,0,-1];[4,0,-4,0,1];[4,0,-5,0,1];[0,4,0,-5,0,1]
CAND 6 [0,0,4,0,-5,0,1] [1];[0,1];[2];[0,0,1];[2,0,-1];[4,0,-4,0,1];[4,0,-5,0,1];[0,0,4,0,-5,0,1]
CAND 6 [0,-4,0,5,0,-1] [1];[0,1];[2];[0,0,1];[2,0,-1];[4,0,-4,0,1];[-4,0,5,0,-1];[0,-4,0,5,0,-1]
CAND 6 [0,0,-4,0,5,0,-1] [1];[0,1];[2];[0,0,1];[2,0,-1];[4,0,-4,0,1];[-4,0,5,0,-1];[0,0,-4,0,5,0,-1]
CAND 6 [240,992,1768,1784,1119,448,112,16,1] [1];[0,1];[2];[2,1];[4,4,1];[16,32,24,8,1];[15,32,24,8,1];[240,992,1768,1784,1119,448,112,16,1]
CAND 6 [-240,-992,-1768,-1784,-1119,-448,-112,-16,-1] [1];[0,1];[2];[2,1];[4,4,1];[16,32,24,8,1];[-15,-32,-24,-8,-1];[-240,-992,-1768,-1784,-1119,-448,-112,-16,-1]
CAND 6 [240,992,1768,1784,1119,448,112,16,1] [1];[0,1];[2];[2,1];[4,4,1];[16,32,24,8,1];[256,1024,1792,1792,1120,448,112,16,1];[240,992,1768,1784,1119,448,112,16,1]
CAND 6 [-240,-992,-1768,-1784,-1119,-448,-112,-16,-1] [1];[0,1];[2];[2,1];[4,4,1];[16,32,24,8,1];[256,1024,1792,1792,1120,448,112,16,1];[-240,-992,-1768,-1784,-1119,-448,-112,-16,-1]
CAND 6 [240,-992,1768,-1784,1119,-448,112,-16,1] [1];[0,1];[2];[2,-1];[4,-4,1];[16,-32,24,-8,1];[15,-32,24,-8,1];[240,-992,1768,-1784,1119,-448,112,-16,1]
CAND 6 [-240,992,-1768,1784,-1119,448,-112,16,-1] [1];[0,1];[2];[2,-1];[4,-4,1];[16,-32,24,-8,1];[-15,32,-24,8,-1];[-240,992,-1768,1784,-1119,448,-112,16,-1]
CAND 6 [240,-992,1768,-1784,1119,-448,112,-16,1] [1];[0,1];[2];[2,-1];[4,-4,1];[16,-32,24,-8,1];[256,-1024,1792,-1792,1120,-448,112,-16,1];[240,-992,1768,-1784,1119,-448,112,-16,1]
CAND 6 [-240,992,-1768,1784,-1119,448,-112,16,-1] [1];[0,1];[2];[2,-1];[4,-4,1];[16,-32,24,-8,1];[256,-1024,1792,-1792,1120,-448,112,-16,1];[-240,992,-1768,1784,-1119,448,-112,16,-1]
CAND 6 [240,-992,1768,-1784,1119,-448,112,-16,1] [1];[0,1];[2];[-2,1];[4,-4,1];[16,-32,24,-8,1];[15,-32,24,-8,1];[240,-992,1768,-1784,1119,-448,112,-16,1]
CAND 6 [-240,992,-1768,1784,-1119,448,-112,16,-1] [1];[0,1];[2];[-2,1];[4,-4,1];[16,-32,24,-8,1];[-15,32,-24,8,-1];[-240,992,-1768,1784,-1119,448,-112,16,-1]
CAND 6 [240,-992,1768,-1784,1119,-448,112,-16,1] [1];[0,1];[2];[-2,1];[4,-4,1];[16,-32,24,-8,1];[256,-1024,1792,-1792,1120,-448,112,-16,1];[240,-992,1768,-1784,1119,-448,112,-16,1]
CAND 6 [-240,992,-1768,1784,-1119,448,-112,16,-1] [1];[0,1];[2];[-2,1];[4,-4,1];[16,-32,24,-8,1];[256,-1024,1792,-1792,1120,-448,112,-16,1];[-240,992,-1768,1784,-1119,448,-112,16,-1]
CAND 6 [240,992,1768,1784,1119,448,112,16,1] [1];[0,1];[1,1];[2,1];[4,4,1];[16,32,24,8,1];[15,32,24,8,1];[240,992,1768,1784,1119,448,112,16,1]
CAND 6 [-240,-992,-1768,-1784,-1119,-448,-112,-16,-1] [1];[0,1];[1,1];[2,1];[4,4,1];[16,32,24,8,1];[-15,-32,-24,-8,-1];[-240,-992,-1768,-1784,-1119,-448,-112,-16,-1]
CAND 6 [240,992,1768,1784,1119,448,112,16,1] [1];[0,1];[1,1];[2,1];[4,4,1];[16,32,24,8,1];[256,1024,1792,1792,1120,448,112,16,1];[240,992,1768,1784,1119,448,112,16,1]
CAND 6 [-240,-992,-1768,-1784,-1119,-448,-112,-16,-1] [1];[0,1];[1,1];[2,1];[4,4,1];[16,32,24,8,1];[256,1024,1792,1792,1120,448,112,16,1];[-240,-992,-1768,-1784,-1119,-448,-112,-16,-1]
CAND 6 [0,0,8,32,54,50,27,8,1] [1];[0,1];[1,1];[1,2,1];[0,2,1];[0,2,5,4,1];[0,4,6,4,1];[0,0,8,32,54,50,27,8,1]
CAND 6 [0,0,8,32,54,50,27,8,1] [1];[0,1];[1,1];[1,2,1];[0,-2,-1];[0,-2,-5,-4,-1];[0,-4,-6,-4,-1];[0,0,8,32,54,50,27,8,1]
CAND 6 [0,3,22,64,97,83,40,10,1] [1];[0,1];[1,1];[1,2,1];[1,3,1];[1,5,8,5,1];[0,3,7,5,1];[0,3,22,64,97,83,40,10,1]
CAND 6 [0,-3,-22,-64,-97,-83,-40,-10,-1] [1];[0,1];[1,1];[1,2,1];[1,3,1];[1,5,8,5,1];[0,-3,-7,-5,-1];[0,-3,-22,-64,-97,-83,-40,-10,-1]
CAND 6 [2,19,69,132,149,103,43,10,1] [1];[0,1];[1,1];[1,2,1];[2,3,1];[2,7,9,5,1];[1,6,9,5,1];[2,19,69,132,149,103,43,10,1]
