p,m,witness,sumset_size,max_ordered_multiplicity,affine_stabilizer,shape
3,3,"[0,1,2]",3,3,6,whole group
5,4,"[0,1,2,4]",5,4,4,cyclic arithmetic progression
7,5,"[0,1,2,3,6]",7,5,2,cyclic arithmetic progression
11,7,"[0,1,2,3,4,5,10]",11,7,2,cyclic arithmetic progression
13,7,"[0,1,2,5,7,9,12]",13,7,6,"non-AP, affine-symmetric"
17,8,"[0,1,3,9,11,12,13,16]",17,8,8,"non-AP, affine-symmetric"
19,9,"[0,1,2,3,5,6,10,16,18]",18,7,1,"non-AP, trivial affine stabilizer"
23,10,"[0,1,2,3,4,7,8,9,14,22]",21,7,1,"non-AP, trivial affine stabilizer"
29,11,"[0,1,2,3,4,5,11,12,16,19,28]",27,7,1,"non-AP, trivial affine stabilizer"
31,11,"[0,1,2,4,7,10,11,19,23,25,30]",29,8,1,"non-AP, trivial affine stabilizer"
37,12,"[0,1,2,4,11,12,14,22,29,30,33,36]",32,7,1,"non-AP, trivial affine stabilizer"
41,13,"[0,1,2,4,6,7,9,16,17,20,33,35,40]",37,9,1,"non-AP, trivial affine stabilizer"
43,13,"[0,1,2,3,5,7,8,11,28,29,33,37,42]",37,8,1,"non-AP, trivial affine stabilizer"
47,13,"[0,1,2,3,5,6,11,13,16,22,23,33,46]",39,7,1,"non-AP, trivial affine stabilizer"
53,14,"[0,1,14,24,26,34,38,40,41,44,46,48,51,52]",44,9,1,"non-AP, trivial affine stabilizer"
